date,sentiment_score,sentiment_volatility,sentiment_momentum
2025-04-03,0.6103500000000001,,
2025-04-04,0.0062999999999999905,0.4271278511757341,-0.6040500000000001
2025-04-05,0.19185000000000002,0.3094208178193575,0.18555000000000002
2025-04-06,-0.3182,0.2581601747623621,-0.51005
2025-04-08,0.9263,0.6256127736068055,1.2445
2025-04-09,0.42625,0.6262369166963357,-0.50005
2025-04-10,0.6402,0.25089101717678153,0.21394999999999997
2025-04-11,-0.22875,0.4527460113941739,-0.86895
2025-04-14,0.0,0.45041771446069945,0.22875
2025-04-15,-0.8176,0.42180972112237236,-0.8176
