date,sentiment_score,sentiment_volatility,sentiment_momentum
2025-03-29,-0.0258,,
2025-03-30,-0.4753,0.31784449814335314,-0.4495
2025-03-31,0.7590333333333333,0.624712252279518,1.2343333333333333
2025-04-01,0.7841,0.7199879021617371,0.02506666666666668
2025-04-02,0.5574,0.12428276153519761,-0.2267
2025-04-03,-0.23095,0.5327937554376304,-0.78835
2025-04-04,-0.11530000000000004,0.42571428897011854,0.11564999999999995
2025-04-07,0.3818,0.325562563111916,0.4971
2025-04-08,0.8367,0.4761558603370681,0.4549
2025-04-10,0.3388,0.27588869132314947,-0.4979
2025-04-11,0.64195,0.250908979180366,0.30315000000000003
2025-04-14,0.3612,0.16892910001930822,-0.28075
