date,sentiment_score,sentiment_volatility,sentiment_momentum
2025-04-01,0.3612,,
2025-04-02,0.5186333333333334,0.11132217758480213,0.15743333333333337
2025-04-03,0.4322,0.07884264450532208,-0.08643333333333342
2025-04-07,0.4939,0.044514695867186906,0.06170000000000003
2025-04-08,0.5315666666666666,0.05016539680932496,0.037666666666666626
2025-04-09,-0.12887499999999996,0.3709111918577955,-0.6604416666666666
2025-04-10,0.29573333333333335,0.334687115805361,0.4246083333333333
2025-04-11,-0.3182,0.3143910330938446,-0.6139333333333333
2025-04-13,0.9146,0.6164016451536678,1.2328
2025-04-14,0.54815,0.6330671061059273,-0.36644999999999994
