date,close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes,sentiment_score,sentiment_volatility,sentiment_momentum,price_change,sentiment_lag_1,ma5,ma20,price_rsi,sent_delta,sentiment_rsi,signal
2020-01-31,40.88973236083984,41.33399847639219,40.7242233445989,41.30786302529626,23080400,2020.0,1.0,31.0,41.328772735595706,41.93244895935059,43.645914459228514,19.913621589958,-1.37590199093831,-1.2298589062419845,-0.1460430846963254,43.24297936563629,43.34930248260498,2.0643177393296845,47.47793796126435,39.220667003945614,13.749573364217351,-2.0246505988526176,0.9302183744849865,41.73471450805664,41.090094201551615,41.76955956743697,40.9768527430772,0.0,0.0,0.0,,,,,,,,0
2020-02-03,41.04652786254883,41.56919363555059,40.9681281627489,41.15106301095327,15471100,2020.0,2.0,3.0,41.21901397705078,41.731222534179686,43.34930248260498,22.370067975746565,-1.3590018350692077,-1.2556874920074292,-0.1033143430617784,43.1749953440684,43.074903678894046,1.9817338956066315,47.03837147010731,39.111435887680784,13.700516896806027,0.3834593494653093,0.9370618068615952,40.88973236083984,41.30786302529626,41.33399847639219,40.7242233445989,0.0,0.0,0.0,0.38345934946533156,0.0,,,,0.0,,0
2020-02-04,41.16848373413086,41.67372700107067,41.15977413294535,41.551772646431935,14973300,2020.0,2.0,4.0,41.22249755859375,41.551774215698245,43.074903678894046,33.96235768803081,-1.3205450982926266,-1.2686590132644688,-0.0518860850281577,43.1166367747672,42.82054061889649,1.8756162498340163,46.57177311856452,39.06930811922845,13.53493676296408,0.2971161701920799,0.8039084086962985,41.04652786254883,41.15106301095327,41.56919363555059,40.9681281627489,0.0,0.0,0.0,0.2971161701920799,0.0,,,,0.0,,0
2020-02-05,42.083152770996094,42.16155248250724,41.62146410409387,41.7259992681136,20141800,2020.0,2.0,5.0,41.20333099365234,41.40542869567871,42.82054061889649,49.92229320184698,-1.2024011779537176,-1.2554074462023188,0.0530062682486012,43.077725086084286,42.6310754776001,1.7373967977829308,46.10586907316596,39.15628188203424,13.677702316275344,2.221770038392079,0.7927085058389984,41.16848373413086,41.551772646431935,41.67372700107067,41.15977413294535,0.0,0.0,0.0,2.221770038392079,0.0,,,,0.0,,0
2020-02-06,42.24161529541016,42.69942395526548,42.12716229083099,42.64659871658401,18259200,2020.0,2.0,6.0,41.38452224731445,41.38365173339844,42.6310754776001,43.32893772442076,-1.083494814738323,-1.2210249199095196,0.1375301051711965,43.05012901961909,42.44256401062012,1.5451750488492826,45.532914108318685,39.35221391292155,13.683161082843148,0.3765462280746146,0.7446395000053079,42.083152770996094,41.7259992681136,42.16155248250724,41.62146410409387,0.0,0.0,0.0,0.3765462280746368,0.0,41.48590240478516,,,0.0,0.0,0
2020-02-07,42.11836242675781,42.259226380353866,41.80141769155131,42.02151782894898,13174600,2020.0,2.0,7.0,41.48590240478516,41.40733757019043,42.44256401062012,42.79061979099274,-0.98781917707187,-1.1743837713419898,0.1865645942701197,43.02845569830863,42.25180988311767,1.3089744218451551,44.86975872680799,39.63386103942736,13.716340721645745,-0.2917806712418369,0.7219626828726646,42.24161529541016,42.64659871658401,42.69942395526548,42.12716229083099,0.0,0.0,0.0,-0.29178067124185914,0.0,41.73162841796875,,,0.0,0.0,0
2020-02-10,42.05673599243164,42.13597217874933,41.74859377521321,41.96869391959994,18124800,2020.0,2.0,10.0,41.73162841796875,41.47532119750976,42.25180988311767,44.08764893999112,-0.906518502127632,-1.1208107174991182,0.2142922153714861,42.998324576356,42.06799240112305,1.0207804638177886,44.10955332875863,40.02643147348747,13.594785769796172,-0.1463172611075203,0.6824328295049646,42.11836242675781,42.02151782894898,42.259226380353866,41.80141769155131,0.0,0.0,0.0,-0.1463172611075203,0.0,41.93367004394531,,,0.0,0.0,0
2020-02-11,42.25043487548828,42.55857380485216,42.2064121497542,42.3296710799622,13686100,2020.0,2.0,11.0,41.93367004394531,41.57808380126953,42.06799240112305,49.46597793219877,-0.8170389341966882,-1.0600563608386322,0.243017426641944,42.98121391248706,41.9108470916748,0.6601160547501341,43.23107920117507,40.590614982174536,13.63376943874509,0.4605656584750095,0.668500933008979,42.05673599243164,41.96869391959994,42.13597217874933,41.74859377521321,0.0,0.0,0.0,0.4605656584750095,0.0,42.1500602722168,,,0.0,0.0,0
2020-02-12,42.074344635009766,42.69062571432473,42.04793033378628,42.45291715408346,16668100,2020.0,2.0,12.0,42.1500602722168,41.67669563293457,41.9108470916748,50.75523472638992,-0.751669959312359,-0.9983790805333776,0.2467091212210186,42.95663034310969,41.86728687286377,0.6154794639408677,43.09824580074551,40.63632794498204,13.490031292315589,-0.4167773444165745,0.6783197108622484,42.25043487548828,42.3296710799622,42.55857380485216,42.2064121497542,0.0,0.0,0.0,-0.41677734441657455,0.0,42.14829864501953,,,0.0,0.0,0
2020-02-13,42.364871978759766,42.41769721887712,41.86304395225997,41.92467171983282,12530000,2020.0,2.0,13.0,42.14829864501953,41.766410446166994,41.86728687286377,60.693569836978064,-0.6687129406358849,-0.9324458525538792,0.2637329119179942,42.94481222108217,41.880937576293945,0.6236951175248318,43.12832781134361,40.63354734124428,13.597690205360356,0.6905094928282063,0.6532262515479,42.074344635009766,42.45291715408346,42.69062571432473,42.04793033378628,0.0,0.0,0.0,0.6905094928282063,0.0,42.172949981689456,,,0.0,0.0,0
