date,close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes,sentiment_score,sentiment_volatility,sentiment_momentum,price_change,sentiment_lag_1,ma5,ma20,price_rsi,sent_delta,sentiment_rsi,signal
2020-01-31,113.9902572631836,116.11745636631134,113.22377751913494,115.82464683287242,12785200,2020.0,1.0,31.0,115.35614166259764,116.71513442993164,117.60089263916016,40.83951632660204,-1.2470618146780623,-1.0283456795209065,-0.218716135157156,117.45577050580796,117.26372680664062,1.6916685763907464,120.64706395942213,113.88038965385913,38.33034149539152,-2.5976894404155626,2.1364217028854844,117.03034210205078,114.2744605856746,117.23703814368383,114.2744605856746,0.0,0.0,0.0,,,,,,,,0
2020-02-03,114.86009979248048,115.60936486156407,114.24864524972196,114.24864524972196,10021100,2020.0,2.0,3.0,115.2200714111328,116.29400177001952,117.26372680664062,40.486838410874654,-1.2731640364447117,-1.0773093509056673,-0.1958546855390444,117.35495552129048,117.04971694946288,1.7123854071208724,120.47448776370464,113.62494613522117,38.33802321222665,0.7630849777701343,2.1634900928039493,113.9902572631836,115.82464683287242,116.11745636631134,113.22377751913494,0.0,0.0,0.0,0.7630849777701343,0.0,,,,0.0,,0
2020-02-04,116.51361846923828,117.64181967530632,116.33277091588651,116.73754248530528,9157100,2020.0,2.0,4.0,115.4508819580078,115.87803802490234,117.04971694946288,41.4181487061702,-1.147200879438515,-1.091287656612237,-0.0559132228262777,117.32611907456312,116.9231185913086,1.649503573860856,120.2221257390303,113.62411144358688,38.30610979480509,1.4395936271562215,2.14319252193851,114.86009979248048,114.24864524972196,115.60936486156407,114.24864524972196,0.0,0.0,0.0,1.4395936271561993,0.0,,,,0.0,,0
2020-02-05,118.494384765625,118.6149541528297,117.13366560084204,117.6159562907384,10150700,2020.0,2.0,5.0,115.59901123046876,115.74455032348632,116.9231185913086,52.10449124996572,-0.8774284350132149,-1.0485158122924323,0.1710873772792176,117.36888094930218,116.99675178527832,1.6865894704733262,120.36993072622498,113.62357284433166,38.512583165856014,1.7000298526559598,2.1302717476765856,116.51361846923828,116.73754248530528,117.64181967530632,116.33277091588651,0.0,0.0,0.0,1.7000298526559598,0.0,,,,0.0,,0
2020-02-06,118.51163482666016,119.09725391916474,118.08102791473144,119.05420374083594,8992300,2020.0,2.0,6.0,116.17774047851564,115.82291870117189,116.99675178527832,50.89289755462211,-0.6546930000673683,-0.9697512498474198,0.3150582497800515,117.40477180299423,117.02560234069824,1.7082726975044875,120.44214773570722,113.60905694568926,38.38900994158892,0.0145577033622945,2.1302710993263605,118.494384765625,117.6159562907384,118.6149541528297,117.13366560084204,0.0,0.0,0.0,0.01455770336229456,0.0,116.4739990234375,,,0.0,0.0,0
2020-02-07,118.13270568847656,118.56331262609196,117.38345382217166,117.75376948080208,6379800,2020.0,2.0,7.0,116.4739990234375,115.91507034301758,117.02560234069824,47.37918886836592,-0.5029522572148437,-0.8763914513209046,0.3734391941060608,117.42063856460466,117.01397705078124,1.6994447821309693,120.4128666150432,113.61508748651931,38.47130677055087,-0.3197400312111353,2.150571052124777,118.51163482666016,119.05420374083594,119.09725391916474,118.08102791473144,0.0,0.0,0.0,-0.31974003121113537,0.0,117.3024887084961,,,0.0,0.0,0
2020-02-10,118.62359619140624,118.71833023716464,117.77098977958065,117.94322991521044,5960700,2020.0,2.0,10.0,117.3024887084961,116.26128005981444,117.01397705078124,52.3860275743376,-0.3391760538093109,-0.7689483718185859,0.4297723180092749,117.44464796390696,117.08588905334472,1.7370909597442026,120.56007097283312,113.61170713385631,38.34492476437509,0.4155415725634936,2.1253511865034134,118.13270568847656,117.75376948080208,118.56331262609196,117.38345382217166,0.0,0.0,0.0,0.41554157256347146,0.0,118.05518798828125,,,0.0,0.0,0
2020-02-11,118.8475341796875,119.55373598035912,118.658066044926,119.07144509300429,6578600,2020.0,2.0,11.0,118.05518798828123,116.75303497314454,117.08588905334472,53.481102705460685,-0.1891321112918262,-0.652985119713234,0.4638530084214077,117.47488414965449,117.1203384399414,1.7660732461821154,120.65248493230564,113.58819194757716,38.35084500655118,0.1887803063396642,2.1290448391018253,118.62359619140624,117.94322991521044,118.71833023716464,117.77098977958065,0.0,0.0,0.0,0.18878030633966425,0.0,118.5219711303711,,,0.0,0.0,0
2020-02-12,118.8475341796875,119.9584944779863,118.67529400474513,119.3642678455976,7958000,2020.0,2.0,12.0,118.5219711303711,117.06049118041992,117.1203384399414,53.8789844955475,-0.0694209641765155,-0.5362722886058903,0.4668513244293747,117.50976258396511,117.08589210510254,1.7226525752023265,120.5311972555072,113.6405869546979,38.10533399882056,0.0,2.09644091317367,118.8475341796875,119.07144509300429,119.55373598035912,118.658066044926,0.0,0.0,0.0,0.0,0.0,118.5926010131836,,,0.0,0.0,0
2020-02-13,118.74417114257812,119.14032215890818,117.469565169052,118.63220913570716,7447500,2020.0,2.0,13.0,118.5926010131836,117.3851707458496,117.08589210510254,65.20904641019447,0.0169154582575146,-0.4256347392332093,0.4425501974907239,117.53843446631755,117.135844039917,1.756918558832361,120.64968115758172,113.62200692225228,38.11286043065572,-0.0869711246622051,1.9561874299830693,118.8475341796875,119.3642678455976,119.9584944779863,118.67529400474513,0.0,0.0,0.0,-0.08697112466220513,0.0,118.63910827636718,,,0.0,0.0,0
2020-02-14,118.3824691772461,119.01115164846698,117.93463426709086,118.70972152524914,6627600,2020.0,2.0,14.0,118.63910827636718,117.55655364990234,117.135844039917,68.28291830868957,0.0555114676792811,-0.3294054978507112,0.3849169655299924,117.55552745339298,117.14488830566408,1.7631480594926578,120.67118442464938,113.61859218667875,37.93599696054875,-0.304606080325176,1.8214693521527887,118.74417114257812,118.63220913570716,119.14032215890818,117.469565169052,0.0,0.0,0.0,-0.304606080325176,0.0,118.68906097412109,,,0.0,0.0,0
2020-02-18,116.81505584716795,118.5977749733162,116.30694278707917,118.27911688626055,8996400,2020.0,2.0,18.0,118.68906097412108,117.9957748413086,117.14488830566408,54.23971979384336,-0.0399179241210703,-0.2715079831047831,0.2315900589837127,117.53571669716057,117.03465423583984,1.7078122419535742,120.450278719747,113.61902975193269,37.53042278590801,-1.3240248670023491,1.8042439448069112,118.3824691772461,118.70972152524914,119.01115164846698,117.93463426709086,0.0,0.0,0.0,-1.3240248670023602,0.0,118.32735290527344,,,0.0,0.0,0
2020-02-19,118.40830993652344,119.18339722998635,117.41790601589643,117.90880427188304,7071200,2020.0,2.0,19.0,118.32735290527344,118.19127044677734,117.03465423583984,60.23872191956908,0.012867555802984,-0.2146328753232296,0.2275004311262137,117.55368846533644,117.0626449584961,1.726340108258536,120.51532517501316,113.60996474197904,37.86128340852727,1.3639115932452706,1.859608483867301,116.81505584716795,118.27911688626055,118.5977749733162,116.30694278707917,0.0,0.0,0.0,1.3639115932452928,0.0,118.23950805664063,,,0.0,0.0,0
2020-02-20,118.40830993652344,119.15756186294308,117.58153876789196,118.13271516661898,7422800,2020.0,2.0,20.0,118.23950805664064,118.38073959350588,117.0626449584961,55.61018308505556,0.0540770622300641,-0.1608908878125709,0.214967950042635,117.57177427931504,117.0975254058838,1.7470464989560313,120.59161840379583,113.60343240797172,38.01747195209646,0.0,1.7605688793702907,118.40830993652344,117.90880427188304,119.18339722998635,117.41790601589643,0.0,0.0,0.0,0.0,0.0,118.15166320800782,,73.90496681442407,0.0,0.0,0
2020-02-21,116.96143341064452,117.91738116712244,116.1949537241769,117.59873629532264,9772800,2020.0,2.0,21.0,118.15166320800782,118.3721321105957,117.0975254058838,63.89992176256938,-0.0296728998955302,-0.1346472902291627,0.1049743903336325,117.55522980145597,117.06609115600584,1.7433689231923235,120.5528290023905,113.5793533096212,37.943666619376415,-1.221938330725736,1.6467682814724836,118.40830993652344,118.13271516661898,119.15756186294308,117.58153876789196,0.0,0.0,0.0,-1.221938330725747,0.0,117.7951156616211,,63.899921762569264,0.0,0.0,0
