date,close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes,sentiment_score,sentiment_volatility,sentiment_momentum,price_change,sentiment_lag_1,ma5,ma20,price_rsi,sent_delta,sentiment_rsi,signal
2020-01-31,61.46937561035156,62.93155251032547,61.056330504954985,62.74981165554007,17101200,2020.0,1.0,31.0,63.400061798095706,64.68356056213379,65.23462657928467,33.61813549131263,-0.9483599960391444,-0.5603146282048397,-0.3880453678343047,65.11082232344846,64.97502918243408,1.4959282555815123,67.9668856935971,61.98317267127106,20.66968015707996,-3.263106986358477,1.3558281611740275,63.5428466796875,62.15594798926613,63.63311856255839,61.958993999845305,0.0,0.0,0.0,,,,,,,,0
2020-02-03,62.06415557861328,62.95633452335184,61.708936534091535,61.708936534091535,11096500,2020.0,2.0,3.0,62.82287673950195,64.18324012756348,64.97502918243408,30.05829960949008,-1.034621210785815,-0.6551759447210348,-0.3794452660647802,64.99119377957071,64.80795040130616,1.6262258549930169,68.06040211129219,61.555498691320125,20.71578417151868,0.9676037251980184,1.361216829257963,61.46937561035156,62.74981165554007,62.93155251032547,61.056330504954985,0.0,0.0,0.0,0.9676037251980185,0.0,,,,0.0,,0
2020-02-04,63.195899963378906,63.83198664086077,63.138073901789646,63.40242251227884,12173200,2020.0,2.0,4.0,62.645310974121095,63.73254890441895,64.80795040130616,30.71362272919771,-1.0001326251412337,-0.7241672808050745,-0.2759653443361591,64.91705448223604,64.70771808624268,1.6621363054555611,68.0319906971538,61.38344547533156,20.776876680882104,1.823507263112778,1.3432913183257045,62.06415557861328,61.708936534091535,62.95633452335184,61.708936534091535,0.0,0.0,0.0,1.823507263112778,0.0,,,,0.0,,0
2020-02-05,65.13720703125,65.24460278433439,64.27807251941323,64.36894294006879,13070400,2020.0,2.0,5.0,62.6071060180664,63.49515342712402,64.70771808624268,43.51938434732104,-0.8068520284084286,-0.7407042303257454,-0.0661477980826832,64.92640162336247,64.73286228179931,1.6647692140003407,68.06240070979999,61.40332385379863,21.17064119067301,3.0718876841631326,1.4122517723709518,63.195899963378906,63.40242251227884,63.83198664086077,63.138073901789646,0.0,0.0,0.0,3.0718876841631326,0.0,,,,0.0,,0
2020-02-06,65.23636627197266,65.97158629562027,64.7654949500571,65.9220228835987,12826400,2020.0,2.0,6.0,63.08189697265625,63.43547401428223,64.73286228179931,44.728089913961725,-0.6383163276808119,-0.7202266497967587,0.0819103221159467,64.93879972213652,64.73834476470947,1.6663143707740542,68.07097350625757,61.40571602316136,21.13176075100871,0.1522313363468086,1.42337044767091,65.13720703125,64.36894294006879,65.24460278433439,64.27807251941323,0.0,0.0,0.0,0.15223133634680863,0.0,63.42060089111328,,,0.0,0.0,0
2020-02-07,65.0050277709961,65.30242069191898,64.4845870080976,64.54241305924556,8341700,2020.0,2.0,7.0,63.42060089111328,63.410331344604494,64.73834476470947,43.39635085199762,-0.5174527807193527,-0.6796718759812775,0.1622190952619248,64.94047884220872,64.70271663665771,1.6518295875095552,68.00637581167682,61.3990574616386,21.16965281063664,-0.3546158595224447,1.4472024035450153,65.23636627197266,65.9220228835987,65.97158629562027,64.7654949500571,0.0,0.0,0.0,-0.3546158595224447,0.0,64.12773132324219,,,0.0,0.0,0
2020-02-10,64.83155822753906,65.0463371302885,64.47633920829318,64.50112090456676,8418300,2020.0,2.0,10.0,64.12773132324219,63.47530403137207,64.70271663665771,46.65312514482834,-0.4307002470427647,-0.6298775501935749,0.1991773031508101,64.93776148054754,64.69247226715088,1.6502855401718466,67.99304334749456,61.39190118680718,20.9567177392004,-0.2668555793378657,1.4146428593050402,65.0050277709961,64.54241305924556,65.30242069191898,64.4845870080976,0.0,0.0,0.0,-0.26685557933786574,0.0,64.68121185302735,,,0.0,0.0,0
2020-02-11,65.3354721069336,65.71547915225537,64.9637340310526,65.05460445894674,9437200,2020.0,2.0,11.0,64.68121185302735,63.66326141357422,64.69247226715088,48.24736228628026,-0.3176252146431153,-0.567427083083483,0.2498018684403676,64.9485818942109,64.64997806549073,1.6204943415700437,67.89096674863082,61.40898938235064,21.08306732232656,0.7772663393743384,1.4414368703899174,64.83155822753906,64.50112090456676,65.0463371302885,64.47633920829318,0.0,0.0,0.0,0.7772663393743384,0.0,65.10912628173828,,,0.0,0.0,0
2020-02-12,65.53372955322266,66.72329501887575,65.50894785847929,66.00460066104868,9484100,2020.0,2.0,12.0,65.10912628173828,63.85811614990234,64.64997806549073,50.20287399776,-0.20959859565572,-0.4958613855979304,0.2862627899422104,64.96415517378729,64.56569614410401,1.5205819457152052,67.60686003553442,61.5245322526736,21.01166566096688,0.3034453412452231,1.4713968411780658,65.3354721069336,65.05460445894674,65.71547915225537,64.9637340310526,0.0,0.0,0.0,0.30344534124522315,0.0,65.18843078613281,,,0.0,0.0,0
2020-02-13,65.2611312866211,65.49243555365638,64.94721925315444,65.17026085277601,8946200,2020.0,2.0,13.0,65.18843078613281,64.13516387939453,64.56569614410401,54.329326190292136,-0.1443194983927327,-0.4255530081568909,0.2812335097641582,64.97142811923852,64.49527645111084,1.4489483395322438,67.39317313017533,61.59737977204635,20.9466145945569,-0.4159663557377291,1.3866763367899837,65.53372955322266,66.00460066104868,66.72329501887575,65.50894785847929,0.0,0.0,0.0,-0.4159663557377291,0.0,65.1933837890625,,,0.0,0.0,0
