date,sentiment_score,sentiment_volatility,sentiment_momentum
2025-04-13,0.5322,,
2025-04-14,0.7254499999999999,0.13664838546430025,0.19324999999999992
2025-04-15,-0.17,0.4712149376876756,-0.89545
