date,sentiment_score,sentiment_volatility,sentiment_momentum
2025-03-03,0.5244,,
2025-03-04,0.28305,0.17066022163937322,-0.24134999999999995
2025-03-08,0.3612,0.12314725940921298,0.07815
2025-03-13,0.45420000000000005,0.08568230564124663,0.09300000000000003
2025-03-17,0.34,0.060745479941583594,-0.11420000000000002
2025-03-20,0.7399,0.20598792035780475,0.3999
2025-03-24,0.2863,0.24784291395962885,-0.4536
2025-03-25,0.9118,0.32314929985998725,0.6255000000000001
2025-03-27,0.38634999999999997,0.3359955245237651,-0.5254500000000001
2025-03-28,0.0,0.4576649547795127,-0.38634999999999997
2025-03-31,0.8658,0.43373345597651713,0.8658
2025-04-02,0.34,0.43621005643306,-0.5258
2025-04-09,0.9538,0.33190362054869665,0.6137999999999999
2025-04-10,0.2635,0.37839943181775515,-0.6902999999999999
