date,close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes,sentiment_score,sentiment_volatility,sentiment_momentum,price_change,sentiment_lag_1,ma5,ma20,price_rsi,sent_delta,sentiment_rsi,signal
2020-01-31,107.8512725830078,110.56352907923012,107.55897768388786,110.1216876641569,6865399,2020.0,1.0,31.0,114.72640686035156,118.37333908081057,120.34294967651368,11.857202752400184,-2.91063021707798,-1.3389549494081798,-1.5716752676698,118.00837928792052,119.61764183044434,4.972290364125723,129.5622225586958,109.67306110219288,36.26604771383765,-2.369090792309858,2.380140249032872,110.46836853027344,109.44192490320223,110.55673185187104,107.91925479470108,0.0,0.0,0.0,,,,,,,,0
2020-02-03,106.44418334960938,108.97290296539974,106.30142254418496,108.78256763018716,4694898,2020.0,2.0,3.0,112.07669067382812,116.85406646728516,119.61764183044434,9.731832736980891,-3.4494674462604564,-1.7610574487786352,-1.6884099974818212,117.39994948696004,118.87466201782226,5.755575445923069,130.3858129096684,107.36351112597612,35.528957222192794,-1.3046570519744891,2.4801628630922345,107.8512725830078,110.1216876641569,110.56352907923012,107.55897768388786,0.0,0.0,0.0,-1.3046570519744782,0.0,,,,0.0,,0
2020-02-04,106.88601684570312,108.73497258585206,106.72287405702389,108.60582046259606,5219224,2020.0,2.0,4.0,109.48815460205078,115.17097396850586,118.87466201782226,10.32535682439574,-3.7970772193360034,-2.168261402890109,-1.6288158164458943,116.81897960536702,118.14799690246582,6.308297855712022,130.76459261388987,105.53140119104178,35.140849203836915,0.4150846783638418,2.530173585284878,106.44418334960938,108.78256763018716,108.97290296539974,106.30142254418496,0.0,0.0,0.0,0.4150846783638418,0.0,,,,0.0,,0
2020-02-05,110.34601593017578,110.34601593017578,107.8784673523716,108.16396412462834,3729367,2020.0,2.0,5.0,108.35430755615236,113.66529541015623,118.14799690246582,24.270024251158205,-3.750138200399249,-2.484636762391937,-1.2655014380073115,116.57311098166078,117.61880226135254,6.50355671548276,130.62591569231807,104.61168883038702,35.86423208101757,3.2370923593002754,2.6471904274306644,106.88601684570312,108.60582046259606,108.73497258585206,106.72287405702389,0.0,0.0,0.0,3.2370923593002754,0.0,,,,0.0,,0
2020-02-06,110.7266845703125,112.16099151010371,110.44118777120892,111.814311508898,4082905,2020.0,2.0,6.0,108.3991714477539,112.5980697631836,117.61880226135254,22.74356151043878,-3.640259268966105,-2.7157612637067707,-0.924498005259334,116.3396953340139,117.01585121154784,6.55808920427235,130.13202962009257,103.89967280300316,35.86726148015874,0.3449772399373163,2.703514136903539,110.34601593017578,108.16396412462834,110.34601593017578,107.8784673523716,0.0,0.0,0.0,0.3449772399373163,0.0,108.45083465576172,,,0.0,0.0,0
2020-02-07,108.8165283203125,110.0672853137771,108.51062479831532,109.72060540681684,3272495,2020.0,2.0,7.0,108.45083465576172,111.58862075805663,117.01585121154784,20.218318692740525,-3.6650644877126126,-2.905621908507939,-0.7594425792046735,116.10641924472245,116.29801979064942,6.633935847559996,129.5658914857694,103.03014809552944,35.437383900751875,-1.7251092249466191,2.791400203994166,110.7266845703125,111.814311508898,112.16099151010371,110.44118777120892,0.0,0.0,0.0,-1.7251092249466193,0.0,108.64388580322266,,,0.0,0.0,0
2020-02-10,108.86414337158205,109.6186866519194,107.99404421434834,108.9049321770823,3294741,2020.0,2.0,10.0,108.64388580322266,110.36028823852538,116.29801979064942,21.55526248368893,-3.638933307567001,-3.052284188319752,-0.5866491192472494,115.88717096902384,115.60738143920898,6.653869623303908,128.9151206858168,102.29964219260115,35.19019420373863,0.0437571865271824,2.748187032603011,108.8165283203125,109.72060540681684,110.0672853137771,108.51062479831532,0.0,0.0,0.0,0.04375718652720462,0.0,109.12787780761718,,,0.0,0.0,0
2020-02-11,110.42758178710938,110.47516871789034,108.77575952923408,109.44192693875917,2721020,2020.0,2.0,11.0,109.12787780761718,109.308016204834,115.60738143920898,27.589161891938573,-3.45227210128472,-3.132281770912745,-0.3199903303719749,115.75400081399349,114.97962074279783,6.512164961245032,128.0039506652879,101.95529082030778,35.6338152305519,1.4361371587620964,2.738961901621832,108.86414337158205,108.9049321770823,109.6186866519194,107.99404421434834,0.0,0.0,0.0,1.4361371587620964,0.0,109.83619079589843,,,0.0,0.0,0
2020-02-12,111.3452606201172,112.18816702779624,111.18891597714575,111.64435364098848,3272734,2020.0,2.0,12.0,109.83619079589845,109.0952491760254,114.97962074279783,30.54153821279951,-3.1934802851679507,-3.1445214737637865,-0.0489588114041641,115.62834501188432,114.38244819641112,6.252548279063697,126.88754475453852,101.87735163828374,35.699927427189664,0.8310232082931801,2.765180985613207,110.42758178710938,109.44192693875917,110.47516871789034,108.77575952923408,0.0,0.0,0.0,0.8310232082932023,0.0,110.03603973388672,,,0.0,0.0,0
2020-02-13,109.58243560791016,111.02971822557626,109.06113647357492,110.95427411745672,4083024,2020.0,2.0,13.0,110.03603973388672,109.21760559082033,114.38244819641112,27.70813343008429,-3.09495444405404,-3.134608067821837,0.0396536237677977,115.42074546324334,113.75117568969726,6.055121312925684,125.86141831554863,101.64093306384588,35.17225337284811,-1.5832061485053783,2.817629134292257,111.3452606201172,111.64435364098848,112.18816702779624,111.18891597714575,0.0,0.0,0.0,-1.5832061485053894,0.0,109.80718994140625,,,0.0,0.0,0
