date,sentiment_score,sentiment_volatility,sentiment_momentum
2025-03-27,0.18543333333333334,,
2025-03-31,0.6486,0.3275082908195692,0.4631666666666666
2025-04-02,0.15046666666666664,0.278053605942771,-0.4981333333333333
2025-04-03,-0.6879,0.6754292136061281,-0.8383666666666666
2025-04-04,0.8555,0.7726592855078372,1.5434
2025-04-07,0.6479,0.8376099887974912,-0.2076
2025-04-08,0.43105000000000004,0.21224179803547935,-0.21685
2025-04-09,0.93625,0.2534418687457406,0.5052
2025-04-10,0.15019999999999997,0.3983253203517612,-0.78605
2025-04-14,0.7351,0.408338898261399,0.5849
