day,operate,price,investment,total_balance
3,buy,157.06962875363934,0.0,9842.93037124636
4,buy,152.10686067252027,0.0,9690.82351057384
5,buy,153.4757781933058,0.0,9537.347732380535
6,buy,152.71903138862217,0.0,9384.628700991912
7,buy,149.1127387064662,0.0,9235.515962285446
8,buy,148.63202293878385,0.0,9086.883939346662
9,buy,149.5215551369256,0.0,8937.362384209737
10,buy,148.48973203475634,0.0,8788.872652174981
11,buy,147.6431440184715,0.0,8641.22950815651
12,buy,147.72464834629318,0.0,8493.504859810217
13,buy,147.3452236913472,0.0,8346.15963611887
14,buy,146.2702596927502,0.0,8199.88937642612
15,buy,145.77328736861455,0.0,8054.116089057505
16,buy,147.9350792169571,0.0,7906.181009840548
17,buy,146.79161387287604,0.0,7759.389395967672
18,buy,145.0280605840817,0.0,7614.36133538359
19,buy,145.40471272038303,0.0,7468.956622663207
20,buy,145.22922040125195,0.0,7323.727402261955
21,buy,145.39639826428356,0.0,7178.331003997671
22,buy,144.9270921172174,0.0,7033.403911880454
23,buy,149.0590810582853,0.0,6884.344830822169
24,buy,152.40845833544154,0.0,6731.936372486727
25,buy,154.071758114138,0.0,6577.864614372589
26,buy,152.92174820342188,0.0,6424.942866169167
27,buy,151.40509817519342,0.0,6273.537767993974
28,buy,149.86221010532972,0.0,6123.675557888644
29,buy,151.64657837801496,0.0,5972.028979510629
30,buy,152.3655128479004,0.0,5819.663466662729
31,buy,151.04876529233297,0.0,5668.614701370396
33,buy,153.09923608941426,0.0,5515.5154652809815
34,sell,154.79843984670515,-1.445975854757065,5670.313905127687
35,sell,154.42933994816485,1.5268734528975543,5824.7432450758515
36,sell,155.7856824778355,1.5050611319398706,5980.528927553687
37,sell,154.8410133269208,1.3894679130715877,6135.369940880608
38,sell,156.48100158509624,4.9414040292927215,6291.850942465704
39,sell,155.652177292759,4.72317755970159,6447.503119758463
40,sell,153.27334922338196,2.509199481653746,6600.776468981845
41,sell,149.93647471846998,0.974304865318906,6750.712943700315
44,buy,152.31566126208236,0.0,6598.397282438233
45,sell,154.21928904925517,4.454080868097017,6752.616571487488
48,sell,154.5866240578107,4.645112233018697,6907.2031955452985
49,sell,156.46662412989826,6.190496176284753,7063.669819675197
50,sell,157.11035815689684,7.411006507349445,7220.780177832094
51,sell,154.01805710377812,5.655885165239607,7374.798234935872
53,sell,158.41884965306053,7.086737298276809,7533.217084588932
54,sell,157.96382553201693,7.61093318915085,7691.180910120949
55,sell,158.67174303531647,9.407615599551301,7849.852653156266
57,sell,158.43303153396846,8.960038894089504,8008.285684690234
58,sell,159.9045716431865,10.104957667188607,8168.190256333421
59,sell,160.94996922126484,10.697356428809139,8329.140225554685
60,sell,160.31358872482815,10.61671519302003,8489.453814279514
61,sell,161.29302597981587,8.207446896004162,8650.74684025933
62,sell,162.01193170227998,6.301141991543406,8812.75877196161
63,sell,161.78533691023767,5.0064845696025495,8974.544108871847
64,sell,161.87884611208574,5.857308076774539,9136.422954983933
66,sell,163.09722161069658,7.722410656194686,9299.52017659463
67,sell,161.9251345105513,8.049343724974571,9461.44531110518
68,sell,161.51796961679065,6.509471789181362,9622.963280721971
70,sell,161.54443365774569,6.0242771728850455,9784.507714379717
71,sell,162.06976691650743,7.296320233300094,9946.577481296225
72,sell,162.76167289096338,6.311224698669291,10109.339154187188
74,sell,165.0253111673701,8.344283050065902,10274.364465354558
78,buy,153.94964354846525,0.0,10120.414821806093
79,sell,151.84200434685044,-1.3690445479669404,10272.256826152943
83,buy,147.6044847992871,0.0,10124.652341353656
84,sell,146.97582349124605,-0.4259093542421161,10271.628164844902
87,buy,147.25676989708518,0.0,10124.371394947817
88,buy,146.75066047028668,0.0,9977.62073447753
89,buy,143.4439659118034,0.0,9834.176768565727
90,buy,143.49698560267643,0.0,9690.67978296305
91,buy,143.5919304396739,0.0,9547.087852523377
92,buy,145.2687312800408,0.0,9401.819121243336
93,buy,145.07381637556318,0.0,9256.745304867773
94,buy,142.6646206708392,0.0,9114.080684196933
95,buy,141.2827036382987,0.0,8972.797980558635
96,buy,138.73697411363537,0.0,8834.061006445
97,buy,137.69899064771016,0.0,8696.36201579729
98,buy,136.6650438158249,0.0,8559.696971981464
99,buy,138.25792807598373,0.0,8421.43904390548
100,buy,133.7354007774993,0.0,8287.703643127981
102,buy,137.15541601551195,0.0,8150.548227112469
103,buy,135.7220953533033,0.0,8014.826131759166
104,buy,136.77740621566772,0.0,7878.048725543498
105,buy,137.89734193687764,0.0,7740.151383606621
106,buy,138.44524674678541,0.0,7601.706136859835
107,buy,137.9831884222167,0.0,7463.7229484376185
108,buy,138.57259933127352,0.0,7325.150349106345
109,buy,136.51896817016313,0.0,7188.631380936182
110,buy,136.19346181852416,0.0,7052.437919117658
