day,operate,price,investment,total_balance,sentiment
704,买入,148.31552124023438,148.31552124023438,9851.684478759766,0.0
705,买入,147.07989501953125,147.07989501953125,9851.684478759766,0.0
706,买入,148.98773193359375,148.98773193359375,9853.592315673828,0.0
707,卖出,149.5511474609375,149.5511474609375,10153.82144165039,0.0
708,买入,146.3088836669922,146.3088836669922,9851.47688293457,0.0
709,买入,148.4539031982422,148.4539031982422,9855.76692199707,0.0
710,买入,149.33372497558594,149.33372497558594,9858.406387329102,0.0
711,买入,146.40771484375,146.40771484375,9846.702346801758,0.0
712,买入,142.56243896484375,142.56243896484375,9827.475967407227,0.0
713,卖出,139.5474853515625,139.5474853515625,10088.481216430664,0.0
714,卖出,146.32864379882812,146.32864379882812,10135.949325561523,0.0
715,卖出,146.6054229736328,146.6054229736328,10137.610000610352,0.0
716,卖出,146.11117553710938,146.11117553710938,10135.138763427734,0.0
717,卖出,144.9447479248047,144.9447479248047,10130.473052978516,0.0
718,卖出,141.26748657226562,141.26748657226562,10119.441268920898,0.0
719,卖出,139.3201141357422,139.3201141357422,10115.546524047852,0.0
741,买入,129.22747802734375,129.22747802734375,9846.998931884766,0.0
742,买入,131.9557647705078,131.9557647705078,9846.998931884766,0.0
743,卖出,131.8766632080078,131.8766632080078,10110.673156738281,0.0
744,买入,133.21115112304688,133.21115112304688,9846.919830322266,0.0
745,买入,134.3776092529297,134.3776092529297,9848.086288452148,0.0
746,买入,133.65599060058594,133.65599060058594,9846.643051147461,0.0
747,买入,133.71530151367188,133.71530151367188,9846.820983886719,0.0
748,买入,136.28541564941406,136.28541564941406,9857.101440429688,0.0
749,买入,139.4881591796875,139.4881591796875,9873.115158081055,0.0
750,买入,140.891845703125,140.891845703125,9881.53727722168,0.0
751,买入,140.22955322265625,140.22955322265625,9876.901229858398,0.0
752,买入,142.30543518066406,142.30543518066406,9893.508285522461,0.0
753,买入,144.25277709960938,144.25277709960938,9911.034362792969,0.0
754,买入,141.35643005371094,141.35643005371094,9882.070892333984,0.0
755,买入,142.63162231445312,142.63162231445312,9896.098007202148,0.0
756,买入,143.7584991455078,143.7584991455078,9909.620529174805,0.0
757,买入,149.08657836914062,149.08657836914062,9978.885559082031,0.0
758,卖出,152.72425842285156,152.72425842285156,10335.261596679688,0.0
759,买入,149.98611450195312,149.98611450195312,9994.217208862305,0.0
760,买入,152.87257385253906,152.87257385253906,10034.627639770508,0.0
761,买入,150.1739501953125,150.1739501953125,9994.14828491211,0.0
762,买入,149.13597106933594,149.13597106933594,9977.540618896484,0.0
763,买入,149.5023193359375,149.5023193359375,9983.768539428711,0.0
764,买入,152.31396484375,152.31396484375,10034.378158569336,0.0
765,买入,151.67044067382812,151.67044067382812,10022.15119934082,0.0
766,卖出,153.7791748046875,153.7791748046875,10371.884231567383,0.0
767,买入,152.1753692626953,152.1753692626953,10033.853576660156,0.0
768,买入,151.0269317626953,151.0269317626953,10010.884826660156,0.0
769,卖出,146.99754333496094,146.99754333496094,10220.262756347656,0.0
770,卖出,147.4232940673828,147.4232940673828,10229.629272460938,0.0
771,卖出,147.90838623046875,147.90838623046875,10239.816207885742,0.0
772,卖出,145.2452392578125,145.2452392578125,10186.553268432617,0.0
773,卖出,146.44317626953125,146.44317626953125,10209.314071655273,0.0
774,卖出,145.93826293945312,145.93826293945312,10200.225631713867,0.0
775,卖出,143.85922241210938,143.85922241210938,10164.881942749023,0.0
776,卖出,144.45323181152344,144.45323181152344,10174.386093139648,0.0
777,卖出,149.52210998535156,149.52210998535156,10250.41926574707,0.0
778,卖出,152.29415893554688,152.29415893554688,10289.227951049805,0.0
779,卖出,150.08644104003906,150.08644104003906,10260.527618408203,0.0
780,买入,151.34375,151.34375,9972.927825927734,0.0
781,买入,149.0865020751953,149.0865020751953,9948.098098754883,0.0
782,买入,147.01736450195312,147.01736450195312,9923.268447875977,0.0
783,卖出,148.9676971435547,148.9676971435547,10246.558166503906,0.0
784,买入,151.0665283203125,151.0665283203125,9973.80874633789,0.0
