day,operate,price,investment,total_balance
2,buy,124.8426051334718,0.0,9875.157394866528
3,sell,128.1496361891695,2.648960306589318,10003.307031055698
9,buy,125.26372880735518,0.0,9878.043302248343
10,sell,128.00032942082453,2.184671204924775,10006.043631669167
12,buy,125.29162558565758,0.0,9880.752006083509
13,sell,126.95456669106534,1.327256388952235,10007.706572774574
15,buy,126.98901722226857,0.0,9880.717555552304
16,sell,127.44114187638841,0.35603445400990036,10008.158697428693
22,buy,120.85269236812564,0.0,9887.306005060567
23,sell,125.9487063001352,4.21671526893811,10013.254711360703
25,buy,125.76348748359032,0.0,9887.491223877114
26,sell,124.39863309447902,-1.0852548831308353,10011.889856971593
29,buy,122.29105195846932,0.0,9889.598805013124
31,buy,119.33257601731111,0.0,9770.266228995813
33,buy,118.71125199361722,0.0,9651.554977002197
34,sell,119.51048507038286,-2.273728816259397,9771.06546207258
35,buy,120.54373989980013,0.0,9650.52172217278
36,buy,119.4646084230644,0.0,9531.057113749715
38,buy,119.42433959047047,0.0,9411.632774159245
39,buy,118.66281060250368,0.0,9292.969963556741
41,buy,118.94237649092702,0.0,9174.027587065815
42,buy,119.1357066759356,0.0,9054.89188038988
43,sell,121.0977774321709,1.479228450246241,9175.98965782205
44,buy,116.35282902571907,0.0,9059.63682879633
46,buy,118.41487182118546,0.0,8941.221956975145
47,buy,120.83883069396416,0.0,8820.38312628118
48,sell,123.59722460670491,4.11584624964649,8943.980350887885
49,buy,116.68194000176301,0.0,8827.298410886122
51,sell,119.93565618991852,-0.5044506752379433,8947.23406707604
52,buy,119.35639163415544,0.0,8827.877675441885
54,buy,120.5845112201787,0.0,8707.293164221706
55,sell,118.00764829479523,-1.2195746903631803,8825.300812516502
56,sell,122.29096870209558,2.4003725885823197,8947.591781218596
57,buy,119.13686286242591,0.0,8828.45491835617
58,sell,124.58186331736215,4.988127859777475,8953.036781673532
59,buy,119.48016220467709,0.0,8833.556619468854
60,buy,123.20509845968625,0.0,8710.351521009168
61,sell,121.70460276427093,2.322323090252545,8832.05612377344
62,buy,119.15043174968923,0.0,8712.90569202375
63,sell,125.31171184387131,5.184008506144376,8838.217403867622
64,buy,124.38115164333247,0.0,8713.83625222429
66,sell,129.00803284790527,10.876575952776225,8842.844285072195
67,sell,126.22016623557649,6.591481538043259,8969.064451307771
68,sell,124.87557339271005,3.340600596317696,9093.940024700481
70,sell,125.11041171054787,7.223458667774555,9219.05043641103
71,sell,126.42105419570727,5.91896459404205,9345.471490606737
73,sell,128.91169969316252,6.905686633152221,9474.383190299899
74,sell,127.01985692042581,6.616754771445371,9601.403047220325
75,buy,124.06789088528967,0.0,9477.335156335035
76,sell,126.4283687414718,5.815364164715476,9603.763525076507
77,sell,126.75125595122881,2.8782554747138906,9730.514781027736
79,sell,125.21045752899592,5.086029223996069,9855.725238556732
81,sell,123.95001935305847,-0.34662188328203863,9979.67525790979
82,buy,125.78271160732584,0.0,9853.892546302464
83,sell,126.72502369262473,2.1416764550239544,9980.617569995089
84,sell,123.652527284396,-1.69354301215889,10104.270097279485
89,buy,117.4074019127138,0.0,9986.86269536677
90,sell,114.52199067810716,-2.457605898435421,10101.384686044878
92,buy,114.67237196043926,0.0,9986.712314084438
93,sell,110.52944313384523,-3.6128395669911635,10097.241757218282
94,buy,106.67862085912384,0.0,9990.563136359158
95,buy,107.65233935293872,0.0,9882.91079700622
96,sell,107.15984814359172,0.45110002415888906,9990.070645149812
97,buy,107.31158827566243,0.0,9882.759056874149
98,buy,106.1975963765658,0.0,9776.561460497584
99,buy,108.97027376313874,0.0,9667.591186734444
100,buy,102.86248299069892,0.0,9564.728703743745
101,buy,108.77394923038082,0.0,9455.954754513365
102,buy,105.66324218359843,0.0,9350.291512329766
103,buy,104.40876514511909,0.0,9245.882747184647
105,buy,108.26646770261142,0.0,9137.616279482036
107,buy,111.0111483193832,0.0,9026.605131162652
108,buy,107.01305711241366,0.0,8919.592074050239
110,buy,110.60401618319156,0.0,8808.988057867047
111,buy,114.26528514830716,0.0,8694.72277271874
112,sell,110.7472562986186,2.8749184312039606,8805.470029017359
113,buy,108.31715490987699,0.0,8697.152874107482
114,sell,113.52045947637725,5.785834783066906,8810.673333583858
115,sell,110.4054018989018,3.9622417699695904,8921.078735482759
116,buy,111.26398507432212,0.0,8809.814750408437
117,sell,115.09238989553523,5.618152474961866,8924.907140303972
118,buy,111.61554865755352,0.0,8813.291591646419
120,sell,110.13086533726211,7.066115978573462,8923.42245698368
121,buy,105.6579625413433,0.0,8817.764494442337
122,sell,106.96738437603108,-1.660843305894392,8924.73187881837
123,buy,105.44231297472834,0.0,8819.289565843641
124,sell,107.13568973580368,1.3935286498655381,8926.425255579445
125,sell,106.20413473355075,1.7195583013899716,9032.629390312995
126,buy,107.20479451165556,0.0,8925.42459580134
127,sell,108.4315007438263,0.15243227632418882,9033.856096545167
128,buy,106.93876588067178,0.0,8926.917330664495
130,sell,108.82451990388745,-1.9697376782417706,9035.741850568382
132,sell,112.4504238678246,5.081031139685283,9148.192274436205
133,sell,108.3566045726875,-2.0319439456716557,9256.548879008893
134,buy,110.19637289125968,0.0,9146.352506117633
135,sell,112.08042076861238,-1.9120981292428354,9258.432926886246
136,buy,107.53580618731483,0.0,9150.897120698932
137,sell,109.25430832973687,0.8651939027013968,9260.151429028669
138,buy,108.25350210508806,0.0,9151.89792692358
139,sell,107.2592952717987,-3.5992687120170674,9259.15722219538
140,sell,109.28457394495854,-2.0883960529071257,9368.441796140338
141,buy,110.21522546951564,0.0,9258.226570670822
142,sell,107.44990060865668,1.6959801459470767,9365.67647127948
143,buy,109.25341863287576,0.0,9256.423052646604
144,buy,108.43985895093284,0.0,9147.98319369567
145,sell,112.32392952799728,6.526427919803199,9260.307123223669
147,buy,109.04529348309369,0.0,9151.261829740575
148,sell,109.07892095034185,1.7481740879439212,9260.340750690917
149,buy,106.6749678697779,0.0,9153.66578282114
150,sell,108.73853301855888,1.6829885056793923,9262.404315839698
151,sell,104.7982475285671,-4.898641598684359,9367.202563368264
153,sell,104.22600010921904,-3.0778641974659986,9471.428563477482
154,sell,104.52340897095202,-3.4457020434452272,9575.951972448434
155,sell,100.67258152617433,-8.658190284227755,9676.624553974609
156,buy,101.04749998226453,0.0,9575.577053992343
157,buy,98.1542232632637,0.0,9477.42283072908
158,sell,98.30877217052146,-10.017669560649258,9575.731602899601
159,buy,100.82503044879923,0.0,9474.906572450802
160,buy,99.99054191429876,0.0,9374.916030536504
161,buy,101.75876854277931,0.0,9273.157261993725
162,buy,102.53370944805465,0.0,9170.62355254567
163,sell,101.26435897811052,-6.617031820438933,9271.887911523781
164,buy,101.99706260226321,0.0,9169.890848921517
165,buy,99.75193163090898,0.0,9070.13891729061
166,buy,99.8726211860353,0.0,8970.266296104573
168,buy,97.7985737073159,0.0,8872.467722397258
169,sell,97.92984326010264,-10.193425014454546,8970.39756565736
170,buy,97.95312512391318,0.0,8872.444440533447
171,buy,94.99594489834361,0.0,8777.448495635104
172,buy,95.90567658536018,0.0,8681.542819049744
173,buy,93.62434116355645,0.0,8587.918477886187
174,buy,94.37508898938451,0.0,8493.543388896802
175,buy,93.69216114331131,0.0,8399.85122775349
176,buy,92.89771856388006,0.0,8306.95350918961
177,buy,91.44322603633736,0.0,8215.510283153273
178,buy,90.70297358581001,0.0,8124.807309567463
179,buy,90.436340597048,0.0,8034.370968970415
180,buy,90.32982655796697,0.0,7944.041142412448
181,buy,96.27182590997654,0.0,7847.769316502471
182,buy,89.31376669243446,0.0,7758.455549810036
183,buy,96.91264862435675,0.0,7661.5429011856795
184,buy,94.7413709593675,0.0,7566.801530226312
185,buy,95.23666780741405,0.0,7471.564862418898
187,buy,96.10625172559685,0.0,7375.458610693301
189,buy,99.51704872284607,0.0,7275.941561970455
190,buy,99.24307950056483,0.0,7176.69848246989
191,sell,99.76235608390925,-6.480069245773882,7276.4608385537995
192,buy,100.94233357906342,0.0,7175.518504974736
193,buy,101.51765444330158,0.0,7074.0008505314345
194,sell,103.07768516041051,2.0091394428385807,7177.078535691845
195,buy,102.22972231438872,0.0,7074.848813377456
196,sell,105.4899821404515,7.473706819025243,7180.338795517908
197,sell,103.78395384339454,2.9347111341542433,7284.122749361302
199,sell,101.93409241372139,1.9437343394822604,7386.056841775024
200,buy,102.33746855745494,0.0,7283.719373217569
201,sell,102.65105075765405,0.8768602722424116,7386.370423975223
