day,operate,price,investment,total_balance
0,buy,113.09436595365698,0.0,9886.905634046343
1,sell,123.6636671763099,9.345559465786245,10010.569301222653
4,buy,128.32770088312103,0.0,9882.241600339532
6,sell,131.4123680594912,2.403742259186615,10013.653968399023
32,buy,206.86169192635134,0.0,9806.792276472672
33,sell,195.6810906780447,-5.404867930930026,10002.473367150717
35,buy,198.03853352244823,0.0,9804.434833628267
36,sell,207.76059363509373,4.90917597687799,10012.195427263361
39,buy,187.9537810556685,0.0,9824.241646207693
40,sell,186.18224348385502,-0.9425389379577157,10010.423889691549
41,buy,178.49202418327332,0.0,9831.931865508275
42,buy,175.14413072138268,0.0,9656.787734786893
44,buy,172.3231566385075,0.0,9484.464578148385
46,buy,172.9413860756431,0.0,9311.523192072742
48,buy,188.0952625288046,0.0,9123.427929543937
51,buy,191.6904753095187,0.0,8931.737454234419
53,buy,192.20219758142773,0.0,8739.535256652991
55,buy,191.18896072940697,0.0,8548.346295923584
57,buy,183.8996525188395,0.0,8364.446643404744
59,buy,188.18385145879617,0.0,8176.262791945948
62,buy,178.3771862005669,0.0,7997.885605745381
64,buy,187.7790311732042,0.0,7810.106574572177
66,buy,186.1112990906004,0.0,7623.995275481577
67,buy,183.80633145570755,0.0,7440.188944025869
68,buy,182.1061230618534,0.0,7258.082820964016
69,buy,176.90932741312278,0.0,7081.173493550893
70,buy,172.9199017822448,0.0,6908.253591768648
71,buy,162.38161575174308,0.0,6745.871976016905
72,buy,163.6805444657548,0.0,6582.19143155115
73,buy,161.5579928331099,0.0,6420.63343871804
75,buy,156.15610107779503,0.0,6264.477337640245
77,buy,164.1070929450143,0.0,6100.370244695231
78,buy,156.44366031989557,0.0,5943.926584375336
80,buy,162.52397004616432,0.0,5781.402614329171
81,buy,161.29876994899678,0.0,5620.103844380174
82,buy,168.3872640742593,0.0,5451.716580305915
83,sell,179.7804341316696,0.7218305435728434,5631.497014437585
85,buy,167.79038824087274,0.0,5463.706626196712
86,buy,171.08478769197063,0.0,5292.621838504741
87,buy,173.6892595984791,0.0,5118.932578906262
88,buy,168.08027375728489,0.0,4950.852305148977
89,buy,166.92468128288965,0.0,4783.927623866088
91,buy,183.5617989727125,0.0,4600.365824893375
94,buy,184.12098314426655,0.0,4416.244841749109
95,buy,188.14739115608612,0.0,4228.097450593023
96,buy,191.4201986510525,0.0,4036.67725194197
97,sell,197.56392866618808,12.800770344094806,4234.241180608158
98,buy,203.28896059097312,0.0,4030.952220017185
99,sell,211.73718850110163,22.87216218147354,4242.689408518287
100,sell,211.06213477751587,22.04258307794473,4453.751543295803
101,buy,216.67169959059902,0.0,4237.0798437052035
102,sell,220.12307386626347,17.027441790329082,4457.202917571467
103,sell,224.3054597893715,17.01440012978739,4681.5083773608385
104,sell,228.94741298885492,19.117999622173855,4910.455790349693
105,sell,235.68127909396938,23.271384600250613,5146.137069443663
106,sell,252.53718379680143,37.32336104927136,5398.674253240464
107,sell,253.30521050139214,34.60517921053105,5651.979463741856
108,sell,261.2872507400425,46.48019531278608,5913.266714481899
109,sell,261.72456214397243,39.37901399787398,6174.991276625871
110,sell,261.6051617692138,40.56382554283414,6436.596438395085
111,sell,248.50958838464976,35.20186514605128,6685.106026779735
112,sell,278.3518078334091,52.851427043375864,6963.457834613144
113,sell,253.9402936190254,43.54262566722562,7217.398128232169
114,sell,255.01882096337795,47.47800474957415,7472.416949195547
115,sell,261.04717246143264,60.761531564345475,7733.46412165698
116,sell,243.81434849424113,48.957439804491806,7977.278470151221
117,sell,248.77367033084556,53.98413038457951,8226.052140482067
118,sell,255.6730835463095,63.72916702046522,8481.725224028376
120,sell,257.68197050622075,57.020617379749474,8739.407194534597
121,sell,274.90393147237046,75.72072330080212,9014.311126006967
122,sell,278.8272818336827,71.56071301635252,9293.13840784065
123,sell,269.0803649170921,66.82108921362277,9562.218772757742
124,sell,265.57931815642223,57.719361744188056,9827.798090914164
125,sell,275.84293056359456,64.39733732995849,10103.641021477759
126,sell,268.29377631276475,56.8191888549518,10371.934797790524
127,sell,278.9146945743996,60.58258018899512,10650.849492364923
129,sell,280.2676482532115,66.74630638567974,10931.117140618135
131,sell,267.2388776139542,60.095484718081096,11198.356018232089
132,sell,286.48765694114263,56.07150210144249,11484.843675173232
134,sell,254.80291791547643,38.38885365706939,11739.646593088708
135,sell,268.6058874791342,42.763546084091125,12008.252480567842
136,sell,260.85114320885623,36.2714828670574,12269.103623776698
137,sell,272.9207163524625,34.252600612972635,12542.024340129161
138,sell,254.9070995185566,17.64669774603852,12796.931439647717
140,buy,258.4614718509256,0.0,12538.469967796791
142,buy,242.25153007818065,0.0,12296.21843771861
144,sell,248.8452671788764,-3.720556337927061,12545.063704897486
145,sell,252.88709678693886,4.390299085139252,12797.950801684425
147,buy,231.5574106879103,0.0,12566.393390996514
149,buy,235.78034094268335,0.0,12330.613050053831
151,buy,218.88794270967992,0.0,12111.725107344151
152,sell,219.33641559821078,-5.277738705659828,12331.061522942362
154,buy,216.28423976777052,0.0,12114.777283174592
156,buy,230.0034284871981,0.0,11884.773854687393
158,buy,228.61924004409775,0.0,11656.154614643296
160,buy,236.16997495391843,0.0,11419.984639689377
162,buy,246.8944061927923,0.0,11173.090233496585
163,sell,265.6228335461492,12.656904508726772,11438.713067042734
165,sell,259.05858738537063,18.352150501487735,11697.771654428105
167,buy,256.7147903677615,0.0,11441.056864060343
168,buy,240.847610861063,0.0,11200.20925319928
169,sell,272.4841478909475,25.984282619723075,11472.693401090228
171,sell,267.33531058984227,16.23101114108916,11740.02871168007
